nom,genre,prenom,nom_famille,date_naissance,lieu_naissance,circonscription,sycomore_id,wikidata,frwiki
Vincent Burroni,masculin,Vincent,Burroni,1947-10-01T00:00:00Z,Châteauneuf-les-Martigues,douzième circonscription des Bouches-du-Rhône,1321,http://www.wikidata.org/entity/Q204187,https://fr.wikipedia.org/wiki/Vincent%20Burroni
Nathalie Kosciusko-Morizet,féminin,Nathalie,Kosciusko-Morizet,1973-05-14T00:00:00Z,Paris,quatrième circonscription de l'Essonne,11040,http://www.wikidata.org/entity/Q268595,https://fr.wikipedia.org/wiki/Nathalie%20Kosciusko-Morizet
Cécile Duflot,féminin,Cécile,Duflot,1975-04-01T00:00:00Z,Villeneuve-Saint-Georges,sixième circonscription de Paris,18414,http://www.wikidata.org/entity/Q268634,https://fr.wikipedia.org/wiki/C%C3%A9cile%20Duflot
Édouard Courtial,masculin,Édouard,Courtial,1973-06-28T00:00:00Z,Neuilly-sur-Seine,septième circonscription de l'Oise,10653,http://www.wikidata.org/entity/Q274276,https://fr.wikipedia.org/wiki/%C3%89douard%20Courtial
Élisabeth Guigou,féminin,Élisabeth,Guigou,1946-08-06T00:00:00Z,Marrakech,sixième circonscription de la Seine-Saint-Denis,3662,http://www.wikidata.org/entity/Q274689,https://fr.wikipedia.org/wiki/%C3%89lisabeth%20Guigou
Henri Jibrayel,masculin,Henri,Jibrayel,1951-09-18T00:00:00Z,Marseille,septième circonscription des Bouches-du-Rhône,17331,http://www.wikidata.org/entity/Q281081,https://fr.wikipedia.org/wiki/Henri%20Jibrayel
Geneviève Fioraso,féminin,Geneviève,Fioraso,1954-10-10T00:00:00Z,Amiens,première circonscription de l'Isère,17303,http://www.wikidata.org/entity/Q283173,https://fr.wikipedia.org/wiki/Genevi%C3%A8ve%20Fioraso
Éric Woerth,masculin,Éric,Woerth,1956-01-29T00:00:00Z,Creil,quatrième circonscription de l'Oise,10791,http://www.wikidata.org/entity/Q288486,https://fr.wikipedia.org/wiki/%C3%89ric%20Woerth
Valérie Fourneyron,féminin,Valérie,Fourneyron,1959-10-04T00:00:00Z,Le Petit-Quevilly,première circonscription de la Seine-Maritime,17305,http://www.wikidata.org/entity/Q291356,https://fr.wikipedia.org/wiki/Val%C3%A9rie%20Fourneyron
Françoise Dumas,féminin,Françoise,Dumas,1960-04-12T00:00:00Z,Alès,première circonscription du Gard,18416,http://www.wikidata.org/entity/Q1967590,https://fr.wikipedia.org/wiki/Fran%C3%A7oise%20Dumas
Olivier Dussopt,masculin,Olivier,Dussopt,1978-08-16T00:00:00Z,Annonay,deuxième circonscription de l'Ardèche,17286,http://www.wikidata.org/entity/Q2020823,https://fr.wikipedia.org/wiki/Olivier%20Dussopt
Pascal Terrasse,masculin,Pascal,Terrasse,1964-10-26T00:00:00Z,Bagnols-sur-Cèze,première circonscription de l'Ardèche,6991,http://www.wikidata.org/entity/Q2040280,https://fr.wikipedia.org/wiki/Pascal%20Terrasse
Bérengère Poletti,féminin,Bérengère,Poletti,1959-10-14T00:00:00Z,Biencourt-sur-Orge,première circonscription des Ardennes,10751,http://www.wikidata.org/entity/Q2114685,https://fr.wikipedia.org/wiki/B%C3%A9reng%C3%A8re%20Poletti
Christophe Léonard,masculin,Christophe,Léonard,1971-01-31T00:00:00Z,Charleville-Mézières,deuxième circonscription des Ardennes,18466,http://www.wikidata.org/entity/Q2114734,https://fr.wikipedia.org/wiki/Christophe%20L%C3%A9onard%20%28homme%20politique%29
Sabine Buis,féminin,Sabine,Buis,1970-09-15T00:00:00Z,Aubenas,troisième circonscription de l'Ardèche,18374,http://www.wikidata.org/entity/Q2114752,https://fr.wikipedia.org/wiki/Sabine%20Buis
Alain Fauré,masculin,Alain,Fauré,1962-10-01T00:00:00Z,Pamiers,deuxième circonscription de l'Ariège,18420,http://www.wikidata.org/entity/Q2119950,https://fr.wikipedia.org/wiki/Alain%20Faur%C3%A9
Jean-Claude Perez,masculin,Jean-Claude,Perez,1964-03-31T00:00:00Z,Carcassonne,première circonscription de l'Aude,5783,http://www.wikidata.org/entity/Q2161575,https://fr.wikipedia.org/wiki/Jean-Claude%20Perez%20%28homme%20politique%29
Jean-Claude Mathis,masculin,Jean-Claude,Mathis,1939-08-15T00:00:00Z,Bouzonville,deuxième circonscription de l'Aube,10734,http://www.wikidata.org/entity/Q2161754,https://fr.wikipedia.org/wiki/Jean-Claude%20Mathis
Alfred Marie-Jeanne,masculin,Alfred,Marie-Jeanne,1936-11-15T00:00:00Z,Rivière-Pilote,première circonscription de la Martinique,4999,http://www.wikidata.org/entity/Q2250266,https://fr.wikipedia.org/wiki/Alfred%20Marie-Jeanne
Michèle Tabarot,féminin,Michèle,Tabarot,1962-10-13T00:00:00Z,Alicante,neuvième circonscription des Alpes-Maritimes,10776,http://www.wikidata.org/entity/Q2254052,https://fr.wikipedia.org/wiki/Mich%C3%A8le%20Tabarot
Laurence Dumont,féminin,Laurence,Dumont,1958-06-02T00:00:00Z,Vincennes,deuxième circonscription du Calvados,2704,http://www.wikidata.org/entity/Q2271318,https://fr.wikipedia.org/wiki/Laurence%20Dumont
Yves Censi,masculin,Yves,Censi,1964-02-08T00:00:00Z,Rodez,première circonscription de l'Aveyron,10643,http://www.wikidata.org/entity/Q2271848,https://fr.wikipedia.org/wiki/Yves%20Censi
Jean-Paul Dupré,masculin,Jean-Paul,Dupré,1944-02-05T00:00:00Z,Davejean,troisième circonscription de l'Aude,2731,http://www.wikidata.org/entity/Q2271863,https://fr.wikipedia.org/wiki/Jean-Paul%20Dupr%C3%A9
Isabelle Attard,féminin,Isabelle,Attard,1969-11-14T00:00:00Z,Vendôme,cinquième circonscription du Calvados,18340,http://www.wikidata.org/entity/Q2277769,https://fr.wikipedia.org/wiki/Isabelle%20Attard
Marie-Line Reynaud,féminin,Marie-Line,Reynaud,1954-07-17T00:00:00Z,Barbezieux-Saint-Hilaire,deuxième circonscription de la Charente,6709,http://www.wikidata.org/entity/Q2277941,https://fr.wikipedia.org/wiki/Marie-Line%20Reynaud
Germinal Peiro,masculin,Germinal,Peiro,1953-09-15T00:00:00Z,Lézignan-Corbières,quatrième circonscription de la Dordogne,5751,http://www.wikidata.org/entity/Q2362877,https://fr.wikipedia.org/wiki/Germinal%20Peiro
Claudine Schmid,féminin,Claudine,Schmid,1955-09-13T00:00:00Z,Saint-Julien-en-Genevois,sixième circonscription des Français établis hors de France,18527,http://www.wikidata.org/entity/Q2370745,https://fr.wikipedia.org/wiki/Claudine%20Schmid
Jérôme Lambert,masculin,Jérôme,Lambert,1957-06-07T00:00:00Z,Vincennes,troisième circonscription de la Charente,4304,http://www.wikidata.org/entity/Q2385796,https://fr.wikipedia.org/wiki/J%C3%A9r%C3%B4me%20Lambert%20%28homme%20politique%29
Didier Quentin,masculin,Didier,Quentin,1946-12-23T00:00:00Z,Royan,cinquième circonscription de la Charente-Maritime,6550,http://www.wikidata.org/entity/Q2386047,https://fr.wikipedia.org/wiki/Didier%20Quentin
Nicolas Bays,masculin,Nicolas,Bays,1977-05-01T00:00:00Z,Béthune,douzième circonscription du Pas-de-Calais,18353,http://www.wikidata.org/entity/Q2388603,https://fr.wikipedia.org/wiki/Nicolas%20Bays
Alain Calmette,masculin,Alain,Calmette,1957-11-30T00:00:00Z,Aurillac,première circonscription du Cantal,18377,http://www.wikidata.org/entity/Q2391979,https://fr.wikipedia.org/wiki/Alain%20Calmette
Marie-Odile Bouillé,féminin,Marie-Odile,Bouillé,1950-10-13T00:00:00Z,Nantes,huitième circonscription de la Loire-Atlantique,17270,http://www.wikidata.org/entity/Q2395969,https://fr.wikipedia.org/wiki/Marie-Odile%20Bouill%C3%A9
Jean-Jacques Candelier,masculin,Jean-Jacques,Candelier,1945-03-07T00:00:00Z,Bugnicourt,seizième circonscription du Nord,17278,http://www.wikidata.org/entity/Q2395973,https://fr.wikipedia.org/wiki/Jean-Jacques%20Candelier
Hugues Fourage,masculin,Hugues,Fourage,1965-06-04T00:00:00Z,Vertou,cinquième circonscription de la Vendée,18425,http://www.wikidata.org/entity/Q2399474,https://fr.wikipedia.org/wiki/Hugues%20Fourage
Christine Pirès-Beaune,féminin,Christine,Pirès-Beaune,1964-10-06T00:00:00Z,Saint-Georges-de-Mons,deuxième circonscription du Puy-de-Dôme,18498,http://www.wikidata.org/entity/Q2413788,https://fr.wikipedia.org/wiki/Christine%20Pir%C3%A8s-Beaune
Annie Genevard,féminin,Annie,Genevard,1956-09-07T00:00:00Z,Audincourt,cinquième circonscription du Doubs,18430,http://www.wikidata.org/entity/Q2414678,https://fr.wikipedia.org/wiki/Annie%20Genevard
Gérard Charasse,masculin,Gérard,Charasse,1944-03-26T00:00:00Z,Le Vernet,troisième circonscription de l'Allier,1653,http://www.wikidata.org/entity/Q2422277,https://fr.wikipedia.org/wiki/G%C3%A9rard%20Charasse
Yves Fromion,masculin,Yves,Fromion,1941-09-15T00:00:00Z,Vorly,première circonscription du Cher,3165,http://www.wikidata.org/entity/Q2482462,https://fr.wikipedia.org/wiki/Yves%20Fromion
Nicolas Sansu,masculin,Nicolas,Sansu,1968-06-17T00:00:00Z,Vierzon,deuxième circonscription du Cher,18522,http://www.wikidata.org/entity/Q2506441,https://fr.wikipedia.org/wiki/Nicolas%20Sansu
Yann Galut,masculin,Yann,Galut,1966-03-14T00:00:00Z,Antony,troisième circonscription du Cher,3231,http://www.wikidata.org/entity/Q2507343,https://fr.wikipedia.org/wiki/Yann%20Galut
Laurent Marcangeli,masculin,Laurent,Marcangeli,1980-12-10T00:00:00Z,Ajaccio,première circonscription de la Corse-du-Sud,18476,http://www.wikidata.org/entity/Q2514772,https://fr.wikipedia.org/wiki/Laurent%20Marcangeli
Sauveur Gandolfi-Scheit,masculin,Sauveur,Gandolfi-Scheit,1947-01-19T00:00:00Z,Bastia,première circonscription de la Haute-Corse,17308,http://www.wikidata.org/entity/Q2571038,https://fr.wikipedia.org/wiki/Sauveur%20Gandolfi-Scheit
Laurent Grandguillaume,masculin,Laurent,Grandguillaume,1978-01-20T00:00:00Z,Besançon,première circonscription de la Côte-d'Or,18437,http://www.wikidata.org/entity/Q2597725,https://fr.wikipedia.org/wiki/Laurent%20Grandguillaume
Rémi Delatte,masculin,Rémi,Delatte,1956-06-09T00:00:00Z,Dijon,deuxième circonscription de la Côte-d'Or,17279,http://www.wikidata.org/entity/Q2597745,https://fr.wikipedia.org/wiki/R%C3%A9mi%20Delatte
Patrick Vignal,masculin,Patrick,Vignal,1958-01-22T00:00:00Z,Montpellier,neuvième circonscription de l'Hérault,18545,http://www.wikidata.org/entity/Q3369924,https://fr.wikipedia.org/wiki/Patrick%20Vignal
Paul Molac,masculin,Paul,Molac,1962-05-21T00:00:00Z,Ploërmel,quatrième circonscription du Morbihan,18482,http://www.wikidata.org/entity/Q3371854,https://fr.wikipedia.org/wiki/Paul%20Molac
Paul Salen,masculin,Paul,Salen,1949-06-17T00:00:00Z,Veauche,sixième circonscription de la Loire,18521,http://www.wikidata.org/entity/Q3372149,https://fr.wikipedia.org/wiki/Paul%20Salen
Philip Cordery,masculin,Philip,Cordery,1966-04-17T00:00:00Z,Neuilly-sur-Seine,quatrième circonscription des Français établis hors de France,18394,http://www.wikidata.org/entity/Q3378990,https://fr.wikipedia.org/wiki/Philip%20Cordery
Philippe Baumel,masculin,Philippe,Baumel,1961-11-14T00:00:00Z,Nogaro,troisième circonscription de Saône-et-Loire,18350,http://www.wikidata.org/entity/Q3379312,https://fr.wikipedia.org/wiki/Philippe%20Baumel
Philippe Bies,masculin,Philippe,Bies,1964-01-14T00:00:00Z,Saint-Avold,deuxième circonscription du Bas-Rhin,18358,http://www.wikidata.org/entity/Q3379355,https://fr.wikipedia.org/wiki/Philippe%20Bies
Philippe Briand,masculin,Philippe,Briand,1960-10-26T00:00:00Z,Tours,cinquième circonscription d'Indre-et-Loire,1213,http://www.wikidata.org/entity/Q3379439,https://fr.wikipedia.org/wiki/Philippe%20Briand
Philippe Doucet,masculin,Philippe,Doucet,1961-05-16T00:00:00Z,Le Havre,cinquième circonscription du Val-d'Oise,18410,http://www.wikidata.org/entity/Q3379749,https://fr.wikipedia.org/wiki/Philippe%20Doucet%20%28homme%20politique%29
Philippe Folliot,masculin,Philippe,Folliot,1963-07-14T00:00:00Z,Albi,première circonscription du Tarn,10676,http://www.wikidata.org/entity/Q3379838,https://fr.wikipedia.org/wiki/Philippe%20Folliot
Philippe Gosselin,masculin,Philippe,Gosselin,1966-10-23T00:00:00Z,Carentan,première circonscription de la Manche,17317,http://www.wikidata.org/entity/Q3379940,https://fr.wikipedia.org/wiki/Philippe%20Gosselin
Philippe Goujon,masculin,Philippe,Goujon,1954-04-30T00:00:00Z,9e arrondissement de Paris,douzième circonscription de Paris,3500,http://www.wikidata.org/entity/Q3379945,https://fr.wikipedia.org/wiki/Philippe%20Goujon
Philippe Houillon,masculin,Philippe,Houillon,1951-12-15T00:00:00Z,Bagnolet,première circonscription du Val-d'Oise,3873,http://www.wikidata.org/entity/Q3380032,https://fr.wikipedia.org/wiki/Philippe%20Houillon
Philippe Kemel,masculin,Philippe,Kemel,1948-06-28T00:00:00Z,Emmerin,onzième circonscription du Pas-de-Calais,18448,http://www.wikidata.org/entity/Q3380099,https://fr.wikipedia.org/wiki/Philippe%20Kemel
Philippe Le Ray,masculin,Philippe,Le Ray,1968-06-16T00:00:00Z,Vannes,deuxième circonscription du Morbihan,18467,http://www.wikidata.org/entity/Q3380180,https://fr.wikipedia.org/wiki/Philippe%20Le%20Ray
Philippe Armand Martin,masculin,Philippe Armand,Martin,1949-04-28T00:00:00Z,Cumières,troisième circonscription de la Marne,5045,http://www.wikidata.org/entity/Q3380329,https://fr.wikipedia.org/wiki/Philippe%20Martin%20%28homme%20politique%2C%201949%29
Philippe Martin,masculin,Philippe,Martin,1953-11-22T00:00:00Z,La Garenne-Colombes,première circonscription du Gers,10731,http://www.wikidata.org/entity/Q3380331,https://fr.wikipedia.org/wiki/Philippe%20Martin%20%28homme%20politique%2C%201953%29
Philippe Noguès,masculin,Philippe,Noguès,1955-05-07T00:00:00Z,Malestroit,sixième circonscription du Morbihan,18490,http://www.wikidata.org/entity/Q3380453,https://fr.wikipedia.org/wiki/Philippe%20Nogu%C3%A8s
Philippe Vigier,masculin,Philippe,Vigier,1958-02-03T00:00:00Z,Valence,quatrième circonscription d'Eure-et-Loir,17214,http://www.wikidata.org/entity/Q3380857,https://fr.wikipedia.org/wiki/Philippe%20Vigier
Philippe Vitel,masculin,Philippe,Vitel,1955-02-22T00:00:00Z,Toulon,deuxième circonscription du Var,10789,http://www.wikidata.org/entity/Q3380870,https://fr.wikipedia.org/wiki/Philippe%20Vitel
Pierre Aylagas,masculin,Pierre,Aylagas,1942-07-24T00:00:00Z,Perpignan,quatrième circonscription des Pyrénées-Orientales,18344,http://www.wikidata.org/entity/Q3383819,https://fr.wikipedia.org/wiki/Pierre%20Aylagas
Pierre Lequiller,masculin,Pierre,Lequiller,1949-12-04T00:00:00Z,Londres,quatrième circonscription des Yvelines,7788,http://www.wikidata.org/entity/Q3385940,https://fr.wikipedia.org/wiki/Pierre%20Lequiller
Pierre Morange,masculin,Pierre,Morange,1956-09-08T00:00:00Z,Clermont-Ferrand,sixième circonscription des Yvelines,9621,http://www.wikidata.org/entity/Q3386344,https://fr.wikipedia.org/wiki/Pierre%20Morange
Pouria Amirshahi,masculin,Pouria,Amirshahi,1972-03-27T00:00:00Z,Shemiran,neuvième circonscription des Français établis hors de France,18335,http://www.wikidata.org/entity/Q3400568,https://fr.wikipedia.org/wiki/Pouria%20Amirshahi
Razzy Hammadi,masculin,Razzy,Hammadi,1979-02-22T00:00:00Z,Toulon,septième circonscription de la Seine-Saint-Denis,18442,http://www.wikidata.org/entity/Q3421399,https://fr.wikipedia.org/wiki/Razzy%20Hammadi
Renaud Gauquelin,masculin,Renaud,Gauquelin,1954-11-07T00:00:00Z,Paris,septième circonscription du Rhône,,http://www.wikidata.org/entity/Q3424887,https://fr.wikipedia.org/wiki/Renaud%20Gauquelin
René Dosière,masculin,René,Dosière,1941-08-03T00:00:00Z,Origny-Sainte-Benoite,première circonscription de l'Aisne,2563,http://www.wikidata.org/entity/Q3426115,https://fr.wikipedia.org/wiki/Ren%C3%A9%20Dosi%C3%A8re
René Rouquet,masculin,René,Rouquet,1946-02-15T00:00:00Z,Charenton-le-Pont,neuvième circonscription du Val-de-Marne,6129,http://www.wikidata.org/entity/Q3426851,https://fr.wikipedia.org/wiki/Ren%C3%A9%20Rouquet
Richard Ferrand,masculin,Richard,Ferrand,1962-07-01T00:00:00Z,Rodez,sixième circonscription du Finistère,18423,http://www.wikidata.org/entity/Q3430759,https://fr.wikipedia.org/wiki/Richard%20Ferrand
Roger-Gérard Schwartzenberg,masculin,Roger-Gérard,Schwartzenberg,1943-04-17T00:00:00Z,Pau,troisième circonscription du Val-de-Marne,6362,http://www.wikidata.org/entity/Q3438605,https://fr.wikipedia.org/wiki/Roger-G%C3%A9rard%20Schwartzenberg
Régis Juanico,masculin,Régis,Juanico,1972-02-05T00:00:00Z,Saint-Rémy,première circonscription de la Loire,17332,http://www.wikidata.org/entity/Q3455745,https://fr.wikipedia.org/wiki/R%C3%A9gis%20Juanico
Rémi Pauvros,masculin,Rémi,Pauvros,1952-07-01T00:00:00Z,Hautmont,troisième circonscription du Nord,18494,http://www.wikidata.org/entity/Q3456061,https://fr.wikipedia.org/wiki/R%C3%A9mi%20Pauvros
Sandrine Mazetier,féminin,Sandrine,Mazetier,1966-12-16T00:00:00Z,Rodez,huitième circonscription de Paris,17356,http://www.wikidata.org/entity/Q3472011,https://fr.wikipedia.org/wiki/Sandrine%20Mazetier
Serge Bardy,masculin,Serge,Bardy,1947-11-06T00:00:00Z,Mésanger,sixième circonscription de Maine-et-Loire,18348,http://www.wikidata.org/entity/Q3479182,https://fr.wikipedia.org/wiki/Serge%20Bardy
Serge Grouard,masculin,Serge,Grouard,1959-03-19T00:00:00Z,Paris,deuxième circonscription du Loiret,10691,http://www.wikidata.org/entity/Q3479338,https://fr.wikipedia.org/wiki/Serge%20Grouard
Serge Janquin,masculin,Serge,Janquin,1943-08-05T00:00:00Z,Bruay-la-Buissière,dixième circonscription du Pas-de-Calais,3994,http://www.wikidata.org/entity/Q3479364,https://fr.wikipedia.org/wiki/Serge%20Janquin
Sergio Coronado,masculin,Sergio,Coronado,1970-05-13T00:00:00Z,Osorno,deuxième circonscription des Français établis hors de France,18395,http://www.wikidata.org/entity/Q3479651,https://fr.wikipedia.org/wiki/Sergio%20Coronado
Seybah Dagoma,féminin,Seybah,Dagoma,1978-06-09T00:00:00Z,Nantes,cinquième circonscription de Paris,18399,http://www.wikidata.org/entity/Q3480986,https://fr.wikipedia.org/wiki/Seybah%20Dagoma
Carole Delga,féminin,Carole,Delga,1971-08-19T00:00:00Z,Toulouse,huitième circonscription de la Haute-Garonne,18402,http://www.wikidata.org/entity/Q2939880,https://fr.wikipedia.org/wiki/Carole%20Delga
Catherine Beaubatie,féminin,Catherine,Beaubatie,1964-02-10T00:00:00Z,Limoges,troisième circonscription de la Haute-Vienne,18354,http://www.wikidata.org/entity/Q2941825,https://fr.wikipedia.org/wiki/Catherine%20Beaubatie
Catherine Coutelle,féminin,Catherine,Coutelle,1945-04-02T00:00:00Z,La Sauvagère,deuxième circonscription de la Vienne,17276,http://www.wikidata.org/entity/Q2941865,https://fr.wikipedia.org/wiki/Catherine%20Coutelle
Catherine Quéré,féminin,Catherine,Quéré,1948-03-16T00:00:00Z,Angoulême,troisième circonscription de la Charente-Maritime,17370,http://www.wikidata.org/entity/Q2942049,https://fr.wikipedia.org/wiki/Catherine%20Qu%C3%A9r%C3%A9
Catherine Troallic,féminin,Catherine,Troallic,1974-05-10T00:00:00Z,Sainte-Adresse,huitième circonscription de la Seine-Maritime,18538,http://www.wikidata.org/entity/Q2942079,https://fr.wikipedia.org/wiki/Catherine%20Troallic
Catherine Vautrin,féminin,Catherine,Vautrin,1960-07-26T00:00:00Z,Reims,deuxième circonscription de la Marne,10783,http://www.wikidata.org/entity/Q2942097,https://fr.wikipedia.org/wiki/Catherine%20Vautrin
Chantal Berthelot,féminin,Chantal,Berthelot,1958-09-12T00:00:00Z,Mana,deuxième circonscription de la Guyane,17266,http://www.wikidata.org/entity/Q2956260,https://fr.wikipedia.org/wiki/Chantal%20Berthelot
Chantal Guittet,féminin,Chantal,Guittet,1955-03-12T00:00:00Z,Oran,cinquième circonscription du Finistère,18441,http://www.wikidata.org/entity/Q2956288,https://fr.wikipedia.org/wiki/Chantal%20Guittet
Charles de Courson,masculin,Charles,de Courson,1952-04-02T00:00:00Z,Paris,cinquième circonscription de la Marne,2031,http://www.wikidata.org/entity/Q2960570,https://fr.wikipedia.org/wiki/Charles%20de%20Courson
Chaynesse Khirouni,féminin,Chaynesse,Khirouni,1968-03-17T00:00:00Z,Douai,première circonscription de Meurthe-et-Moselle,18449,http://www.wikidata.org/entity/Q2961751,https://fr.wikipedia.org/wiki/Chaynesse%20Khirouni
Christian Assaf,masculin,Christian,Assaf,1972-09-01T00:00:00Z,Nîmes,huitième circonscription de l'Hérault,18339,http://www.wikidata.org/entity/Q2965006,https://fr.wikipedia.org/wiki/Christian%20Assaf
Christian Franqueville,masculin,Christian,Franqueville,1949-05-14T00:00:00Z,Saulxures-lès-Bulgnéville,quatrième circonscription des Vosges,3135,http://www.wikidata.org/entity/Q2965260,https://fr.wikipedia.org/wiki/Christian%20Franqueville
Christian Hutin,masculin,Christian,Hutin,1961-01-18T00:00:00Z,Lille,treizième circonscription du Nord,17327,http://www.wikidata.org/entity/Q2965349,https://fr.wikipedia.org/wiki/Christian%20Hutin
Christophe Bouillon,masculin,Christophe,Bouillon,1969-03-04T00:00:00Z,Rouen,cinquième circonscription de la Seine-Maritime,17271,http://www.wikidata.org/entity/Q2966121,https://fr.wikipedia.org/wiki/Christophe%20Bouillon
Christophe Caresche,masculin,Christophe,Caresche,1960-09-02T00:00:00Z,Arcachon,dix-huitième circonscription de Paris,1441,http://www.wikidata.org/entity/Q2966137,https://fr.wikipedia.org/wiki/Christophe%20Caresche
Christophe Priou,masculin,Christophe,Priou,1958-05-02T00:00:00Z,Nantes,septième circonscription de la Loire-Atlantique,10754,http://www.wikidata.org/entity/Q2966462,https://fr.wikipedia.org/wiki/Christophe%20Priou
Christophe Sirugue,masculin,Christophe,Sirugue,1966-08-14T00:00:00Z,Autun,cinquième circonscription de Saône-et-Loire,17378,http://www.wikidata.org/entity/Q2966490,https://fr.wikipedia.org/wiki/Christophe%20Sirugue
Claude Greff,féminin,Claude,Greff,1954-06-02T00:00:00Z,Briey,deuxième circonscription d'Indre-et-Loire,10689,http://www.wikidata.org/entity/Q2977503,https://fr.wikipedia.org/wiki/Claude%20Greff
Claude Sturni,masculin,Claude,Sturni,1962-08-25T00:00:00Z,Haguenau,neuvième circonscription du Bas-Rhin,18532,http://www.wikidata.org/entity/Q2978175,https://fr.wikipedia.org/wiki/Claude%20Sturni
Claude de Ganay,masculin,Claude,de Ganay,1953-09-05T00:00:00Z,Paris,troisième circonscription du Loiret,18429,http://www.wikidata.org/entity/Q2978334,https://fr.wikipedia.org/wiki/Claude%20de%20Ganay
Colette Capdevielle,féminin,Colette,Capdevielle,1958-10-14T00:00:00Z,Orthez,cinquième circonscription des Pyrénées-Atlantiques,18378,http://www.wikidata.org/entity/Q2982476,https://fr.wikipedia.org/wiki/Colette%20Capdevielle
Conchita Lacuey,féminin,Conchita,Lacuey,1943-09-30T00:00:00Z,Bordeaux,quatrième circonscription de la Gironde,4241,http://www.wikidata.org/entity/Q2991951,https://fr.wikipedia.org/wiki/Conchita%20Lacuey
Cécile Untermaier,féminin,Cécile,Untermaier,1951-12-28T00:00:00Z,Belley,quatrième circonscription de Saône-et-Loire,18540,http://www.wikidata.org/entity/Q3009791,https://fr.wikipedia.org/wiki/C%C3%A9cile%20Untermaier
Céleste Lett,masculin,Céleste,Lett,1951-05-07T00:00:00Z,Sarreguemines,cinquième circonscription de la Moselle,10722,http://www.wikidata.org/entity/Q3010054,https://fr.wikipedia.org/wiki/C%C3%A9leste%20Lett
Damien Meslot,masculin,Damien,Meslot,1964-11-11T00:00:00Z,Belfort,première circonscription du Territoire de Belfort,10737,http://www.wikidata.org/entity/Q3012817,https://fr.wikipedia.org/wiki/Damien%20Meslot
